,代码,名称,行业,质押比例(%),质押股数(万股),质押市值(亿元),质押笔数,无限售股质押数(股),限售股质押数(股),近年来涨跌幅(%),日期
3073,600054,黄山旅游,旅游酒店,0.05,24.77,237.792,26,24.77,0,-10.13403345,2019-09-12T00:00:00
3074,600053,九鼎投资,多元金融,72.89,31598.72,749205.6512,10,31598.72,0,84.21978177,2019-09-12T00:00:00
3075,600057,厦门象屿,交运物流,8.3,17911.08,80599.86,3,17911.08,0,-6.27169393,2019-09-12T00:00:00
3076,600056,中国医药,医药制造,0.67,711.98,9768.3656,3,0.24,711.74,-14.58632672,2019-09-12T00:00:00
3077,600055,万东医疗,医疗行业,13.2,7140.42,74260.368,3,7140.42,0,23.74829964,2019-09-12T00:00:00
3078,600048,保利地产,房地产,1.17,13891.94,203378.0016,13,13891.94,0,30.82390592,2019-09-12T00:00:00
3079,600038,中直股份,航天航空,0,0.03,1.4535,1,0.03,0,24.17437333,2019-09-12T00:00:00
3080,600052,浙江广厦,房地产,44.37,38679.34,234010.007,10,38679.34,0,94.78098736,2019-09-12T00:00:00
3081,600051,宁波联合,综合行业,19.3,6000,38160,1,6000,0,8.40889543,2019-09-12T00:00:00
3082,600050,中国联通,电信运营,4.3,133546.99,858707.1457,73,189.21,133357.78,15.75951194,2019-09-12T00:00:00
3083,600037,歌华有线,文化传媒,4.87,6772.15,68872.7655,9,6772.15,0,8.77507064,2019-09-12T00:00:00
3084,600036,招商银行,银行,0.47,9679.52,341590.2608,26,9679.52,0,32.25866219,2019-09-12T00:00:00
3085,603527,众源新材,有色金属,3.3,574,6250.86,2,574,0,-8.77637096,2019-09-12T00:00:00
3086,603519,立霸股份,材料行业,0.03,7.33,119.6989,11,7.33,0,130.98520457,2019-09-12T00:00:00
3087,603520,司太立,医药制造,44.78,7518,239824.2,5,7518,0,124.5844382,2019-09-12T00:00:00
3088,603507,振江股份,输配电气,36.27,4645.07,91786.5832,40,1456,3189.07,7.12909206,2019-09-12T00:00:00
3089,603516,淳中科技,安防设备,0.66,87.08,3017.322,1,87.08,0,42.93535529,2019-09-12T00:00:00
3090,603508,思维列控,电子信息,1.59,310.11,19419.0882,2,310.11,0,89.85479771,2019-09-12T00:00:00
3091,603506,南都物业,房地产,8.32,1115.76,20864.712,6,0,1115.76,7.46746076,2019-09-12T00:00:00
3092,603515,欧普照明,电子元件,10.43,7887.85,231823.9115,10,7887.85,0,10.99344144,2019-09-12T00:00:00
3093,603505,金石资源,材料行业,5.83,1399.48,28843.2828,23,2.48,1397,83.96178836,2019-09-12T00:00:00
3094,603499,翔港科技,造纸印刷,11.6,1645,28409.15,4,0,1645,23.63352933,2019-09-12T00:00:00
3095,603500,祥和实业,交运设备,0,0.01,0.1316,1,0.01,0,22.14321244,2019-09-12T00:00:00
3096,603501,韦尔股份,电子元件,19.17,16559.87,1706825.8009,19,1458.85,15101.02,174.60624666,2019-09-12T00:00:00
3097,603496,恒为科技,通讯行业,11.07,2244.43,49736.5688,6,582.42,1662.01,44.7869538,2019-09-12T00:00:00
3098,603477,振静股份,纺织服装,31.56,7575,59312.25,4,100,7475,-21.39796926,2019-09-12T00:00:00
3099,603458,勘设股份,工程建设,8.67,1586.11,33340.0322,12,0.1,1586.01,-8.57797208,2019-09-12T00:00:00
3100,603486,科沃斯,家电行业,0,0.01,0.2553,1,0.01,0,-18.87811169,2019-09-12T00:00:00
3101,603421,鼎信通讯,通讯行业,4.47,2096.91,41686.5708,16,0.13,2096.78,15.81762326,2019-09-12T00:00:00
3102,300148,天舟文化,文化传媒,30.25,25562.94,118612.0416,20,25562.94,0,3.34075725,2019-09-12T00:00:00
3103,300146,汤臣倍健,食品饮料,2.75,4352.47,85743.659,12,4352.47,0,13.09062029,2019-09-12T00:00:00
3104,300145,中金环境,机械行业,10.04,19311.18,74541.1548,11,19311.18,0,-7.87589499,2019-09-12T00:00:00
3105,300147,香雪制药,医药制造,37.09,24532.76,163633.5092,11,24532.76,0,-3.13476039,2019-09-12T00:00:00
3106,300149,量子生物,医疗行业,11.59,5791,83216.67,6,5791,0,-6.241538,2019-09-12T00:00:00
3107,300143,盈康生命,医疗行业,35.9,19596.58,166570.93,23,19596.58,0,-13.79310449,2019-09-12T00:00:00
3108,300136,信维通信,通讯行业,9.64,9339.74,323902.1832,46,9339.74,0,19.4214876,2019-09-12T00:00:00
3109,300134,大富科技,通讯行业,51.72,39697.49,793552.8251,18,39697.49,0,88.58490566,2019-09-12T00:00:00
3110,300135,宝利国际,化工行业,28.38,26156,74021.48,7,26156,0,-1.39372211,2019-09-12T00:00:00
3111,300137,先河环保,环保工程,9.39,5173.3,42058.929,48,5173.3,0,10.46195653,2019-09-12T00:00:00
3112,300138,晨光生物,农牧饲渔,36.3,18647.74,132771.9088,30,18647.74,0,34.81276344,2019-09-12T00:00:00
3113,300131,英唐智控,电子元件,32.96,35255.01,215055.561,90,35255.01,0,7.9912902,2019-09-12T00:00:00
3114,300129,泰胜风能,输配电气,5.87,4224.46,19305.7822,8,4224.46,0,42.47565343,2019-09-12T00:00:00
3115,300128,锦富技术,电子元件,11.74,12847.31,55371.9061,6,12847.31,0,19.72222224,2019-09-12T00:00:00
3116,300133,华策影视,文化传媒,23.92,41986.94,308184.1396,18,41986.94,0,-23.26024178,2019-09-12T00:00:00
3117,300132,青松股份,化工行业,20.46,10568.61,117945.6876,17,10568.61,0,-7.15042363,2019-09-12T00:00:00
3118,300123,亚光科技,船舶制造,15.88,15997.34,136137.3634,8,7447.34,8550,49.4361663,2019-09-12T00:00:00
3119,300122,智飞生物,医药制造,18.68,29889,1543169.07,20,29889,0,16.06408082,2019-09-12T00:00:00
3120,300127,银河磁体,电子元件,0.46,149.99,3184.2877,1,149.99,0,89.51958687,2019-09-12T00:00:00
3121,300125,易世达,环保工程,23.1,6132.83,102847.5591,2,6132.83,0,62.71021497,2019-09-12T00:00:00
