,f1,收盘价,今日涨幅,价格变动,成交量,成交额,f7,换手,f9,量比,f11,代号,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,总市值,流通市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,股息率
29,2.0,4.08,9.97,0.37,180508.0,73647117.0,0.0,2.73,-48.45,1.32,0.0,600139.SH,1.0,西部资源,4.08,4.08,4.08,3.71,2700513273.0,2700513273.0,0.0,6.73,16.57,34.65,33786856.0,-148.87,0.0,0.0,0.0,0.0,2.0,0.0
30,2.0,9.6,9.97,0.87,380793.0,358719808.0,9.74,26.37,-10.47,2.26,0.1,300023.SZ,0.0,宝德股份,9.6,8.75,8.75,8.73,3034625040.0,1386324902.0,0.0,8.5,11.11,58.15,49443284.0,-4.09,0.0,0.0,0.0,0.0,2.0,0.0
31,2.0,5.96,9.96,0.54,117283.0,69164768.0,10.89,1.85,65.41,1.7,0.0,300187.SZ,0.0,永清环保,5.96,5.37,5.37,5.42,3841220983.0,3779524357.0,0.0,2.61,-0.67,14.62,31701569.0,-24.61,0.0,0.0,0.0,0.0,2.0,0.0
32,2.0,6.19,9.95,0.56,103909.0,62797973.0,11.9,3.31,48.14,3.21,0.0,002513.SZ,0.0,蓝丰生化,6.19,5.52,5.63,5.63,2105134061.0,1946131091.0,0.0,1.26,7.84,-4.77,16666573.0,-2.38,0.0,0.0,0.0,0.0,2.0,0.0
33,2.0,19.24,9.13,1.61,296899.0,539857904.0,10.89,20.72,141.04,2.82,-0.62,603619.SH,1.0,中曼石油,19.39,17.47,17.8,17.63,7696001924.0,2757507853.0,-0.16,3.23,-2.24,24.13,-28013533.0,-164.75,0.0,0.0,0.0,0.0,2.0,0.0
34,2.0,7.61,8.56,0.6,745750.0,561546416.0,8.42,2.73,32.72,3.88,0.26,600026.SH,1.0,中远海能,7.71,7.12,7.12,7.01,30683770072.0,20821210072.0,0.13,1.09,16.72,72.17,934688.0,38.77,0.0,0.0,0.0,0.0,2.0,0.0
35,2.0,5.25,8.25,0.4,202593.0,103389008.0,10.52,4.05,103.65,6.02,-0.19,603778.SH,1.0,乾景园林,5.34,4.83,4.85,4.85,2625000000.0,2625000000.0,-0.38,2.58,20.97,24.41,812988.0,-472.93,0.0,0.0,0.0,0.0,2.0,0.0
36,2.0,7.4,8.03,0.55,181999.0,131176966.0,9.93,1.17,31.11,7.18,-0.13,600917.SH,1.0,重庆燃气,7.48,6.8,6.82,6.85,11514400000.0,11514400000.0,-0.13,2.88,4.37,5.11,5139834.0,33.69,0.0,0.0,0.0,0.0,2.0,0.0
37,2.0,26.7,7.92,1.96,68177.0,182519804.0,10.23,13.57,74.04,3.08,0.0,002861.SZ,0.0,瀛通通讯,27.21,24.68,24.78,24.74,3276047280.0,1341528818.0,0.0,3.29,30.18,45.5,17861198.0,56.17,0.0,0.0,0.0,0.0,2.0,0.0
38,2.0,10.16,6.72,0.64,723547.0,734894976.0,12.5,26.36,86.4,2.94,0.99,300061.SZ,0.0,康旗股份,10.47,9.28,9.28,9.52,6877446372.0,2788987005.0,-0.68,3.03,44.11,70.76,-2762510.0,-8.06,0.0,0.0,0.0,0.0,2.0,0.0
39,2.0,6.33,6.57,0.39,786148.0,485372864.0,9.43,24.53,38.02,6.71,0.0,300164.SZ,0.0,通源石油,6.51,5.95,6.0,5.94,2856109666.0,2028979138.0,-0.16,1.71,-2.01,3.43,-39265292.0,37.85,0.0,0.0,0.0,0.0,2.0,0.0
40,2.0,5.4,6.51,0.33,577500.0,297474160.0,9.07,2.6,30.37,1.61,-1.28,600869.SH,1.0,智慧能源,5.48,5.02,5.05,5.07,11984504828.0,11984504828.0,-0.92,2.37,18.42,11.34,56891154.0,94.21,0.0,0.0,0.0,0.0,2.0,0.0
41,2.0,5.03,6.34,0.3,252689.0,128920915.0,4.02,3.61,7.83,5.55,0.4,600173.SH,1.0,卧龙地产,5.2,5.01,5.15,4.73,3526624767.0,3520015347.0,0.2,1.42,15.63,37.06,5863237.0,5.7,0.0,0.0,0.0,0.0,2.0,0.0
42,2.0,8.19,6.23,0.48,167645.0,133741913.0,8.82,5.35,56.64,3.1,0.86,002700.SZ,0.0,新疆浩源,8.28,7.6,7.66,7.71,3459676147.0,2564541907.0,0.0,3.34,4.2,-17.02,3787151.0,50.51,0.0,0.0,0.0,0.0,2.0,0.0
43,2.0,10.75,6.23,0.63,1009474.0,1074956448.0,9.29,18.76,79.74,1.17,-0.09,000058.SZ,0.0,深 赛 格,10.96,10.02,10.03,10.12,13283304677.0,5783925732.0,-0.09,6.99,87.28,81.59,62452338.0,985.88,0.0,0.0,0.0,0.0,2.0,0.0
44,2.0,17.27,6.15,1.0,27654.0,46013884.0,7.31,2.47,84.68,2.56,0.82,603031.SH,1.0,安德利,17.28,16.09,16.28,16.27,1934240000.0,1934240000.0,0.0,3.15,28.88,45.25,2605683.0,327.46,0.0,0.0,0.0,0.0,2.0,0.0
45,2.0,17.13,6.07,0.98,38909.0,65618607.0,9.47,5.13,69.37,3.62,0.06,002735.SZ,0.0,王子新材,17.63,16.1,16.15,16.15,2444472070.0,1299852527.0,0.06,4.22,8.49,36.6,-81055.0,48.06,0.0,0.0,0.0,0.0,2.0,0.0
46,2.0,17.16,5.86,0.95,114066.0,192361366.0,7.53,26.98,80.51,3.78,0.06,002919.SZ,0.0,名臣健康,17.38,16.16,16.22,16.21,2095849384.0,725541874.0,0.0,3.77,5.28,29.51,6788341.0,90.29,0.0,0.0,0.0,0.0,2.0,0.0
47,2.0,4.93,5.79,0.27,635868.0,311631008.0,8.37,1.2,31.55,4.03,0.2,601872.SH,1.0,招商轮船,5.06,4.67,4.67,4.66,29908400399.0,26126328492.0,0.2,1.49,13.86,35.81,-22213.0,22.57,0.0,0.0,0.0,0.0,2.0,0.0
48,2.0,17.81,5.76,0.97,449580.0,796633472.0,4.69,2.78,11.07,2.96,-0.11,600426.SH,1.0,华鲁恒升,18.05,17.26,17.26,16.84,28970810148.0,28806194383.0,-0.06,2.22,19.05,50.04,22075974.0,10.94,0.0,0.0,0.0,0.0,2.0,0.0
49,2.0,13.79,5.35,0.7,107209.0,142637400.0,11.76,4.57,57.1,1.64,-0.07,603603.SH,1.0,博天环境,14.25,12.71,13.0,13.09,5761242132.0,3238305907.0,0.15,3.05,-7.45,-6.19,4091882.0,40.95,0.0,0.0,0.0,0.0,2.0,0.0
50,2.0,21.78,5.32,1.1,167393.0,363065248.0,8.99,36.92,-203.66,5.2,-0.77,300612.SZ,0.0,宣亚国际,22.75,20.89,21.25,20.68,3528360000.0,987449530.0,0.05,9.0,2.16,45.98,-9034630.0,360.11,0.0,0.0,0.0,0.0,2.0,0.0
51,2.0,10.21,5.26,0.51,234877.0,237845711.0,10.21,11.4,-193.82,1.67,-0.68,002213.SZ,0.0,特 尔 佳,10.56,9.57,9.65,9.7,2103260000.0,2103260000.0,-0.2,5.82,29.73,9.67,10933197.0,-320.05,0.0,0.0,0.0,0.0,2.0,0.0
52,2.0,1.61,5.23,0.08,231236.0,37194582.0,1.31,6.02,-4.65,5.06,0.0,600891.SH,1.0,*ST秋林,1.61,1.59,1.59,1.53,994313143.0,618629702.0,0.63,-0.82,1.26,-76.25,306455.0,-0.23,0.0,0.0,0.0,0.0,2.0,0.0
53,2.0,1.41,5.22,0.07,75851.0,10694991.0,0.0,0.67,-1.08,0.36,0.0,002501.SZ,0.0,*ST利源,1.41,1.41,1.41,1.34,1712918168.0,1600462216.0,0.0,0.54,3.68,-50.18,-564846.0,-0.41,0.0,0.0,0.0,0.0,2.0,0.0
54,2.0,48.2,5.13,2.35,56217.0,274103840.0,9.68,9.34,160.75,0.89,-0.08,300492.SZ,0.0,山鼎设计,50.44,46.0,46.65,45.85,4010240000.0,2900093455.0,0.0,14.05,87.99,157.89,-12068478.0,129.2,0.0,0.0,0.0,0.0,2.0,0.0
55,2.0,19.1,5.12,0.93,87037.0,164540554.0,8.2,9.17,159.56,3.01,0.05,603727.SH,1.0,博迈科,19.81,18.32,19.81,18.17,4472169500.0,1812017000.0,0.0,1.91,20.13,55.16,-446807.0,52.96,0.0,0.0,0.0,0.0,2.0,0.0
56,2.0,2.06,5.1,0.1,147039.0,29571854.0,6.12,2.05,-15.58,2.45,0.0,002259.SZ,0.0,*ST升达,2.06,1.94,1.97,1.96,1549796230.0,1474392509.0,0.0,1.07,-2.83,-10.04,5897100.0,-7.94,0.0,0.0,0.0,0.0,2.0,0.0
57,2.0,2.08,5.05,0.1,156723.0,31785835.0,6.57,2.08,-22.66,0.94,0.0,002175.SZ,0.0,*ST东网,2.08,1.95,1.95,1.98,1567858681.0,1567797435.0,0.0,2.96,-4.59,-38.64,7228083.0,-3.49,0.0,0.0,0.0,0.0,2.0,0.0
58,2.0,3.75,5.04,0.18,616597.0,231138866.0,1.12,1.4,109.08,1.29,0.0,600518.SH,1.0,ST康美,3.75,3.71,3.75,3.57,18651981281.0,16532951123.0,0.0,0.75,32.51,-59.19,11591947.0,25.48,0.0,0.0,0.0,0.0,2.0,0.0
59,2.0,6.05,5.03,0.29,349824.0,208983985.0,6.08,9.35,4.75,1.31,0.0,600781.SH,1.0,ST辅仁,6.05,5.7,5.7,5.76,3794302948.0,2264292493.0,0.0,0.66,-46.41,-52.17,-1496975.0,4.53,0.0,0.0,0.0,0.0,2.0,0.0
60,2.0,7.94,5.03,0.38,79534.0,63134800.0,0.79,4.24,-198.41,5.12,0.0,600615.SH,1.0,ST丰华,7.94,7.88,7.94,7.56,1492882834.0,1489738594.0,0.0,2.51,15.41,-24.24,-2158528.0,770.72,0.0,0.0,0.0,0.0,2.0,0.0
61,2.0,13.43,5.0,0.64,52886.0,70416785.0,4.53,1.58,304.09,2.47,0.0,600696.SH,1.0,ST岩石,13.43,12.85,12.85,12.79,4491924458.0,4491924458.0,0.07,14.8,56.16,174.08,736036.0,347.73,0.0,0.0,0.0,0.0,2.0,0.0
62,2.0,9.89,4.99,0.47,13355.0,13141725.0,4.25,0.96,-160.39,0.74,0.0,002569.SZ,0.0,*ST步森,9.89,9.49,9.49,9.42,1384698900.0,1382377223.0,0.0,4.71,-1.49,3.56,-1821036.0,-7.51,0.0,0.0,0.0,0.0,2.0,0.0
63,2.0,7.8,4.98,0.37,155259.0,120079081.0,9.69,2.68,16.09,1.99,0.39,600829.SH,1.0,人民同泰,8.11,7.39,7.41,7.43,4523131057.0,4523131057.0,0.13,2.63,8.48,33.79,4624254.0,17.12,0.0,0.0,0.0,0.0,2.0,0.0
64,2.0,33.21,4.96,1.57,225912.0,741561696.0,5.94,6.95,34.62,1.19,0.09,000799.SZ,0.0,酒鬼酒,33.48,31.6,31.64,31.64,10790891426.0,10790891426.0,0.06,4.72,29.57,109.79,69737346.0,40.87,0.0,0.0,0.0,0.0,2.0,0.0
65,2.0,6.79,4.95,0.32,173138.0,114504350.0,7.88,2.34,-1.84,1.13,0.0,000410.SZ,0.0,*ST沈机,6.79,6.28,6.38,6.47,5197547302.0,5026972317.0,0.0,-3.54,-4.5,7.61,13735970.0,-2.34,0.0,0.0,0.0,0.0,2.0,0.0
66,2.0,3.41,4.92,0.16,34828.0,11876348.0,0.0,0.5,32.12,0.18,0.0,000868.SZ,0.0,*ST安凯,3.41,3.41,3.41,3.25,2500652463.0,2371860292.0,0.0,5.77,23.55,-7.84,6632449.0,-3.51,0.0,0.0,0.0,0.0,2.0,0.0
67,2.0,12.58,4.92,0.59,223514.0,275241136.0,7.26,18.8,58.01,2.42,0.48,300600.SZ,0.0,瑞特股份,12.68,11.81,11.94,11.99,3819114396.0,1495409760.0,0.0,3.46,13.54,41.99,-11215.0,45.71,0.0,0.0,0.0,0.0,2.0,0.0
68,2.0,2.35,4.91,0.11,44911.0,10554087.0,0.0,0.75,-24.54,0.22,0.0,000670.SZ,0.0,*ST盈方,2.35,2.35,2.35,2.24,1919074296.0,1410393122.0,0.0,12.11,4.91,-26.1,346390.0,-11.27,0.0,0.0,0.0,0.0,2.0,0.0
69,2.0,14.37,4.89,0.67,107888.0,153020923.0,9.56,17.01,28.35,2.87,-0.69,300586.SZ,0.0,美联新材,14.92,13.61,13.69,13.7,3448800000.0,911686688.0,-0.14,5.18,3.23,38.84,9080925.0,35.8,0.0,0.0,0.0,0.0,2.0,0.0
70,2.0,7.77,4.72,0.35,296365.0,229274910.0,9.84,16.14,31.62,4.6,-0.26,300421.SZ,0.0,力星股份,8.13,7.4,7.45,7.42,1909200919.0,1426421052.0,0.0,1.71,2.91,20.47,5805585.0,29.05,0.0,0.0,0.0,0.0,2.0,0.0
71,2.0,27.24,4.65,1.21,194075.0,500472048.0,13.91,12.4,-43.58,1.46,0.52,603322.SH,1.0,超讯通信,27.88,24.26,25.25,26.03,4263604800.0,4263604800.0,0.74,9.95,24.78,12.19,1922100.0,-159.25,0.0,0.0,0.0,0.0,2.0,0.0
72,2.0,10.66,4.61,0.47,208236.0,218287184.0,8.73,10.43,367.64,1.44,-0.09,300740.SZ,0.0,御家汇,10.93,10.04,10.1,10.19,4382547813.0,2127401095.0,0.0,3.31,16.63,-11.68,10720692.0,61.17,0.0,0.0,0.0,0.0,2.0,0.0
73,2.0,30.67,4.6,1.35,108609.0,328066544.0,7.57,31.03,25.65,2.18,-0.29,603867.SH,1.0,新化股份,31.26,29.04,29.17,29.32,4293800000.0,1073450000.0,-0.1,3.16,88.28,88.28,18405867.0,25.5,0.0,0.0,0.0,0.0,2.0,0.0
74,2.0,28.03,4.28,1.15,118638.0,331256896.0,8.0,8.83,24.85,3.38,0.29,002832.SZ,0.0,比音勒芬,29.03,26.88,26.88,26.88,8640984689.0,3764381349.0,0.0,5.29,4.28,44.86,-11787561.0,25.14,0.0,0.0,0.0,0.0,2.0,0.0
75,2.0,10.25,4.27,0.42,338250.0,340730384.0,7.43,8.55,22.44,1.7,0.2,002645.SZ,0.0,华宏科技,10.44,9.71,9.84,9.83,4744453283.0,4054606512.0,0.1,2.52,16.08,90.52,15367695.0,26.01,0.0,0.0,0.0,0.0,2.0,0.0
76,2.0,26.0,4.25,1.06,59094.0,152435638.0,9.86,10.87,63.14,1.35,-0.19,300622.SZ,0.0,博士眼镜,27.09,24.63,25.15,24.94,3174443948.0,1413953164.0,-0.04,6.47,89.5,126.09,-613093.0,54.31,0.0,0.0,0.0,0.0,2.0,0.0
77,2.0,42.79,4.24,1.74,200594.0,848400096.0,4.7,9.77,26.03,1.77,-0.09,000049.SZ,0.0,德赛电池,43.11,41.18,41.35,41.05,8865991209.0,8782379549.0,0.14,4.7,58.19,50.51,9639155.0,20.23,0.0,0.0,0.0,0.0,2.0,0.0
78,2.0,5.53,4.14,0.22,949610.0,536620144.0,10.92,6.62,-40.59,5.17,0.0,600151.SH,1.0,航天机电,5.84,5.26,5.31,5.31,7931415147.0,7931415147.0,0.0,1.34,3.17,39.65,16163541.0,68.67,0.0,0.0,0.0,0.0,2.0,0.0
79,2.0,16.87,4.14,0.67,33382.0,55279737.0,8.09,4.36,26.29,3.15,0.42,300522.SZ,0.0,世名科技,17.36,16.05,16.22,16.2,2040949470.0,1292207855.0,0.24,3.38,-0.3,0.18,3420346.0,29.45,0.0,0.0,0.0,0.0,2.0,0.0
80,2.0,1.52,4.11,0.06,302950.0,45909180.0,5.48,4.63,-17.74,3.48,0.0,000760.SZ,0.0,*ST斯太,1.53,1.45,1.46,1.46,1173203835.0,994755287.0,0.66,2.33,-3.8,-53.8,3056359.0,-0.98,0.0,0.0,0.0,0.0,2.0,0.0
81,2.0,5.86,4.09,0.23,478803.0,279063696.0,11.72,7.38,34.75,2.07,0.17,300021.SZ,0.0,大禹节水,6.18,5.52,5.58,5.63,4672533626.0,3799782273.0,0.0,3.27,-6.39,44.69,20067815.0,41.75,0.0,0.0,0.0,0.0,2.0,0.0
82,2.0,14.78,3.94,0.56,582604.0,865691344.0,8.93,8.2,43.18,1.2,-0.34,002036.SZ,0.0,联创电子,15.38,14.11,14.21,14.22,10572007498.0,10502506189.0,-0.54,4.93,64.96,124.62,58784811.0,38.91,0.0,0.0,0.0,0.0,2.0,0.0
83,2.0,18.15,3.89,0.68,209830.0,375957744.0,14.48,12.66,-1460.95,3.54,0.0,300469.SZ,0.0,信息发展,19.05,16.52,17.01,17.47,3723207074.0,3008202889.0,0.0,7.97,25.87,61.19,-2317300.0,82.17,0.0,0.0,0.0,0.0,2.0,0.0
84,2.0,24.86,3.84,0.92,101698.0,248570749.0,5.97,4.54,17.86,2.41,0.65,603393.SH,1.0,新天然气,24.93,23.5,24.06,23.94,5568640000.0,5568640000.0,0.2,2.46,5.7,17.99,-12361568.0,14.35,0.0,0.0,0.0,0.0,2.0,0.0
