,f1,f2,今日涨幅,价格变动,成交量,成交额,f7,换手,市盈(动),量比,f11,f12,f13,名字,今日最高价,今日最低价,今日开盘价,昨天收盘价,流通市值,总市值,f22,市净率,f24,f25,主力净流入,市盈率,f128,f140,f141,f136,f152,gxl
3092,2,20.76,-0.86,-0.18,90814,188902471.0,2.53,13.42,52.71,0.78,0.24,002885.SZ,0,京泉华,21.08,20.55,21.0,20.94,3736800000,1405286231,0.0,4.89,12.64,47.76,-15163971.0,44.81,-,-,-,-,2,0.0361271676300578
1960,2,4.44,0.0,0.0,101343,45254587.0,3.83,1.12,-29.42,0.78,0.45,600509.SH,1,天富能源,4.58,4.41,4.52,4.44,5112282675,4021292842,0.23,0.8,-21.14,25.07,-1433996.0,-110.62,-,-,-,-,2,0.036036036036036036
1585,2,27.76,0.29,0.08,254683,702529808.0,3.11,2.39,456.1,0.71,0.0,603799.SH,1,华友钴业,28.12,27.26,27.96,27.68,29943920035,29587872468,0.07,3.95,27.69,20.28,-10176167.0,561.63,-,-,-,-,2,0.03602305475504323
192,2,10.55,3.84,0.39,424112,447547968.0,8.66,3.68,-78.38,1.86,0.57,002156.SZ,0,通富微电,10.85,9.97,10.2,10.16,12171583235,12169470439,0.0,2.03,21.97,48.8,23314177.0,-234.52,-,-,-,-,2,0.03601895734597156
594,2,11.12,1.65,0.18,83716,93287020.0,3.66,2.72,71.36,1.16,-0.09,300245.SZ,0,天玑科技,11.29,10.89,10.94,10.94,3485647322,3424518614,-0.09,2.46,-5.76,30.21,1013660.0,79.13,-,-,-,-,2,0.03597122302158274
2539,2,5.59,-0.36,-0.02,61454,34523579.0,1.96,0.98,102.4,0.54,0.0,000523.SZ,0,广州浪奇,5.68,5.57,5.61,5.61,3507910169,3504388418,0.18,1.81,0.0,42.24,-5050863.0,105.51,-,-,-,-,2,0.03577817531305904
890,2,55.91,1.05,0.58,14724,82410398.0,3.67,1.62,48.68,0.82,0.23,300572.SZ,0,安车检测,56.88,54.85,55.36,55.33,10826925877,5071221279,0.04,14.21,20.99,107.3,4206421.0,61.3,-,-,-,-,2,0.035771776068681815
829,2,39.19,1.14,0.44,349171,1374144800.0,2.45,3.88,86.69,0.86,0.1,603019.SH,1,中科曙光,39.83,38.88,39.0,38.75,35282904002,35282904002,0.03,9.35,-3.35,53.51,-31305185.0,72.32,-,-,-,-,2,0.035723398826231184
3240,2,13.16,-1.05,-0.14,109283,144125216.0,4.29,11.03,54.14,0.79,0.0,300705.SZ,0,九典制药,13.58,13.01,13.3,13.3,3088388800,1303619598,-0.08,4.2,13.74,12.67,-3159297.0,42.55,-,-,-,-,2,0.03571428571428571
847,2,7.28,1.11,0.08,368589,268433607.0,2.64,0.45,39.25,1.4,0.28,601901.SH,1,方正证券,7.37,7.18,7.22,7.2,59929698156,59929698156,0.14,1.57,0.41,37.88,849550.0,49.17,-,-,-,-,2,0.03571428571428571
661,2,6.19,1.48,0.09,276124,170431664.0,3.44,1.1,17.03,2.05,-0.16,000729.SZ,0,燕京啤酒,6.27,6.06,6.11,6.1,17446758521,15533455395,0.0,1.3,-7.61,10.14,-4409877.0,94.02,-,-,-,-,2,0.03554119547657512
1091,2,3.94,0.77,0.03,77784,30622075.0,2.3,1.28,50.11,1.07,0.0,300064.SZ,0,豫金刚石,3.98,3.89,3.93,3.91,4749577784,2386280956,0.0,0.68,-13.79,-11.46,678926.0,-200.93,-,-,-,-,2,0.03553299492385787
3308,2,50.69,-1.15,-0.59,68542,349768144.0,4.31,5.1,99.44,0.79,0.14,300474.SZ,0,景嘉微,52.4,50.19,51.5,51.28,15275991827,6816021219,0.02,6.81,24.48,40.88,-38331318.0,97.41,-,-,-,-,2,0.03550996251726179
12,2,8.45,10.03,0.77,599970,490120688.0,10.42,12.93,39.83,1.69,0.0,300311.SZ,0,任子行,8.45,7.65,7.67,7.68,5745905537,3920799916,0.0,3.82,9.46,46.19,153950924.0,42.07,-,-,-,-,2,0.035505325443786984
1076,2,28.2,0.79,0.22,307595,861664592.0,3.22,0.82,26.47,0.64,0.53,601012.SH,1,隆基股份,28.4,27.5,28.14,27.98,106384913412,106145720081,0.5,4.98,21.87,95.97,35244960.0,32.63,-,-,-,-,2,0.03546099290780142
1823,2,11.29,0.09,0.01,11980,13544661.0,1.24,0.81,-725.68,1.22,0.0,600605.SH,1,汇通能源,11.38,11.24,11.38,11.28,1663520444,1663520444,-0.09,2.42,0.18,16.51,-234446.0,-307.73,-,-,-,-,2,0.0354295837023915
235,2,9.6,3.34,0.31,49152,46583573.0,3.98,0.96,39.71,1.71,0.1,603333.SH,1,尚纬股份,9.61,9.24,9.35,9.29,4991088000,4894179485,0.0,3.45,-0.41,92.77,10419465.0,53.02,-,-,-,-,2,0.03541666666666667
3008,2,28.32,-0.77,-0.22,74307,209627802.0,3.57,10.98,92.43,0.65,1.14,002897.SZ,0,意华股份,28.85,27.83,28.69,28.54,4833431040,1915897956,0.14,4.27,18.99,39.16,-29943409.0,70.23,-,-,-,-,2,0.03531073446327684
2530,2,5.67,-0.35,-0.02,222687,127292984.0,4.57,3.37,6.51,0.79,0.35,600589.SH,1,广东榕泰,5.83,5.57,5.7,5.69,3999084062,3751136566,0.18,1.15,13.86,39.66,-7705836.0,10.66,-,-,-,-,2,0.035273368606701945
3435,2,28.38,-1.39,-0.4,35004,99868391.0,3.68,7.27,47.59,0.57,0.04,300545.SZ,0,联得装备,29.15,28.09,29.07,28.78,4089202455,1365827005,-0.04,6.5,15.37,37.83,-10570995.0,44.99,-,-,-,-,2,0.035236081747709654
1306,2,28.38,0.53,0.15,7788,22194282.0,2.44,4.12,-32.37,0.33,-0.42,300681.SZ,0,英搏尔,28.81,28.12,28.35,28.23,2145528000,536382000,-0.04,3.52,0.85,-17.72,1730101.0,-104.73,-,-,-,-,2,0.035236081747709654
