,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f20,f21,f22,f23,f24,f25,f62,f115,f128,f140,f141,f136,f152,gxl
1131,2,9.36,-1.68,-0.16,19524,18380784.0,2.0,0.29,0.0,0.8,-0.11,000546.SZ,0,金圆股份,9.54,9.35,9.54,9.52,6689071547,6251882083,-0.11,1.76,-1.06,8.71,1512981.0,16.95,-,-,-,-,2,0.05341880341880342
1132,2,16.92,-1.69,-0.29,62218,105608810.0,2.56,0.68,0.0,0.83,-0.12,300001.SZ,0,特锐德,17.31,16.87,17.25,17.21,16878885669,15594899100,-0.06,5.3,-9.62,-3.42,-7869702.0,120.38,-,-,-,-,2,0.00591016548463357
1175,2,12.33,-1.75,-0.22,196102,245088479.0,4.22,2.05,0.0,0.94,0.0,600216.SH,1,浙江医药,12.81,12.28,12.63,12.55,11901631140,11786576519,-0.08,1.54,17.65,44.55,-37258229.0,67.37,-,-,-,-,2,0.12165450121654502
1163,2,10.17,-1.74,-0.18,10369,10615108.0,2.13,0.35,0.0,0.64,0.0,601007.SH,1,金陵饭店,10.36,10.14,10.35,10.35,3051000000,3051000000,0.0,2.2,-6.87,29.22,162744.0,45.89,-,-,-,-,2,0.19665683382497542
1164,2,16.95,-1.74,-0.3,17333,29842401.0,3.25,3.52,0.0,0.75,-0.18,300488.SZ,0,恒锋工具,17.47,16.91,17.2,17.25,2832211485,835433583,0.06,3.08,-6.61,11.81,-1417990.0,38.13,-,-,-,-,2,0.1664254867256637
1165,2,9.03,-1.74,-0.16,18811,17114554.0,2.18,0.64,0.0,0.81,-0.33,603616.SH,1,韩建河山,9.22,9.02,9.19,9.19,2649040800,2649040800,-0.22,3.37,-13.59,-21.75,462899.0,249.38,-,-,-,-,2,0.01461794019933555
1166,2,2.82,-1.74,-0.05,55595,15762031.0,2.09,0.75,0.0,1.29,0.36,600698.SH,1,*ST天雁,2.86,2.8,2.86,2.87,2740525181,2078661082,0.0,5.57,2.92,-32.05,-544015.0,-33.51,-,-,-,-,2,0.0
1167,2,20.3,-1.74,-0.36,9124,18623100.0,2.66,0.79,0.0,0.66,-0.2,002205.SZ,0,国统股份,20.75,20.2,20.51,20.66,2357885965,2357885965,-0.05,2.53,3.68,73.5,-583401.0,428.37,-,-,-,-,2,0.0
1168,2,8.45,-1.74,-0.15,32759,27990466.0,2.56,1.53,0.0,0.72,-0.24,002136.SZ,0,安 纳 达,8.65,8.43,8.62,8.6,1816919000,1808379092,-0.24,2.61,-6.42,4.71,-286667.0,87.31,-,-,-,-,2,0.1183431952662722
1169,2,13.51,-1.75,-0.24,11810,16054034.0,2.76,2.19,0.0,0.95,0.0,603229.SH,1,奥翔药业,13.82,13.44,13.7,13.75,2161600000,729269800,0.0,3.49,3.92,18.61,1506902.0,42.24,-,-,-,-,2,0.04071058475203553
