,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日,市场
7577,002449.SZ,国星光电,0.0125944584382872,0.0,0.0,0.0,2.0,20170322,中小板
5925,002661.SZ,克明面业,0.0125549278091651,0.0,0.0,0.0,2.0,20170427,中小板
7071,002601.SZ,龙蟒佰利,0.0125294198378041,0.0,0.0,0.0,2.008466,20170331,中小板
7008,600037.SH,歌华有线,0.0125260960334029,0.0,-,-,1.8,20170401,沪市
6686,600232.SH,金鹰股份,0.0124843945068664,0.0,-,-,1.0,20170415,沪市
7231,002158.SZ,汉钟精机,0.0124787294384572,0.0,-,-,2.2,20170330,中小板
7205,603098.SH,森特股份,0.0124378109452736,0.0,-,-,3.0,20170330,沪市
5754,600053.SH,九鼎投资,0.0124179274907222,0.0,-,-,4.35,20170429,沪市
5979,603035.SH,常熟汽饰,0.0124007936507937,0.0,-,-,2.5,20170427,沪市
5701,300637.SZ,扬帆新材,0.012396694214876,0.0,-,-,3.0,20170508,创业板
7932,002469.SZ,三维工程,0.0123915737298637,0.0,0.0,0.0,1.0,20170228,中小板
7713,000890.SZ,法尔胜,0.0123915737298637,0.0,0.0,0.0,1.0,20170317,深主板
6804,600335.SH,国机汽车,0.0123762376237624,0.0,-,-,1.5,20170412,沪市
7864,603889.SH,新澳股份,0.0123456790123457,0.0,-,-,2.0,20170307,沪市
6532,600229.SH,城市传媒,0.0123329907502569,0.0,-,-,1.2,20170420,沪市
6266,300530.SZ,达志科技,0.0123257666268419,0.0,-,-,6.19,20170425,创业板
6378,600697.SH,欧亚集团,0.0123066104078762,0.0,-,-,3.5,20170422,沪市
5799,600977.SH,中国电影,0.0122908251586844,0.0,-,-,2.13,20170428,沪市
5792,601225.SH,陕西煤业,0.0122905027932961,0.0,-,-,1.1,20170428,沪市
7829,002815.SZ,崇达技术,0.0122816593886463,0.0,0.0,0.0,4.5,20170310,中小板
6869,600195.SH,中牧股份,0.0122651356993737,0.0,-,-,2.35,20170411,沪市
6630,600105.SH,永鼎股份,0.0122549019607843,0.0,-,-,1.0,20170418,沪市
7386,002674.SZ,兴业科技,0.0122448979591837,0.0,0.0,0.0,1.5,20170328,中小板
7197,002734.SZ,利民股份,0.0122377622377622,0.0,0.0,0.0,3.5,20170330,中小板
6338,300099.SZ,精准信息,0.0122249388753056,0.0,0.0,0.0,1.0,20170422,创业板
5863,002399.SZ,海普瑞,0.01220703125,0.0,0.0,0.0,2.5,20170428,中小板
6190,002117.SZ,东港股份,0.0121951219512195,0.0,0.0,0.0,3.0,20170425,中小板
7206,002818.SZ,富森美,0.0121654501216545,0.0,0.0,0.0,5.0,20170330,中小板
7125,601139.SH,深圳燃气,0.0121387283236994,0.0,-,-,1.05,20170331,沪市
6135,300183.SZ,东软载波,0.0121241513094083,0.0,0.0,0.0,2.5,20170426,创业板
6555,002790.SZ,瑞尔特,0.0121028744326778,0.0,0.0,0.0,4.0,20170419,中小板
7264,000528.SZ,柳工,0.0120918984280532,0.0,0.0,0.0,1.0,20170330,深主板
7253,601018.SH,宁波港,0.0120781527531084,0.0,-,-,0.68,20170330,沪市
7293,600196.SH,复星医药,0.0120731286650569,0.0,-,-,3.5,20170329,沪市
5804,600827.SH,百联股份,0.0120724346076459,0.0,-,-,1.8,20170428,沪市
6709,601801.SH,皖新传媒,0.0120663650075415,0.0,-,-,1.6,20170415,沪市
8044,603528.SH,多伦科技,0.0120656370656371,20.0,10.0,10.0,5.0,20170118,沪市
7332,601800.SH,中国交建,0.0120545567265964,0.0,-,-,1.9444,20170329,沪市
7021,600029.SH,南方航空,0.0120336943441637,0.0,-,-,1.0,20170331,沪市
6840,300124.SZ,汇川技术,0.0120087336244542,0.0,0.0,0.0,2.75,20170411,创业板
7820,603600.SH,永艺股份,0.012002400480096,15.0,-,15.0,6.0,20170310,沪市
7910,600889.SH,南京化纤,0.011988011988012,0.0,-,-,1.2,20170301,沪市
6872,300572.SZ,安车检测,0.0119789171058936,0.0,0.0,0.0,5.0,20170410,创业板
6052,300432.SZ,富临精工,0.0119712689545092,0.0,0.0,0.0,3.0,20170426,创业板
7015,601186.SH,中国铁建,0.0119670905011219,0.0,-,-,1.6,20170331,沪市
6107,002067.SZ,景兴纸业,0.011965811965812,0.0,0.0,0.0,0.7,20170426,中小板
6132,002549.SZ,凯美特气,0.01194743130227,1.0,0.0,1.0,1.0,20170426,中小板
7117,601375.SH,中原证券,0.0119447186574531,0.0,-,-,1.21,20170331,沪市
7462,600823.SH,世茂股份,0.0119402985074627,4.0,-,4.0,0.8,20170325,沪市
6023,600466.SH,蓝光发展,0.0119331742243437,0.0,-,-,1.0,20170426,沪市
6696,300250.SZ,初灵信息,0.0119305856832972,0.0,0.0,0.0,2.2,20170415,创业板
6173,002171.SZ,楚江新材,0.0119189511323004,0.0,0.0,0.0,2.0,20170425,中小板
5576,002908.SZ,德生科技,0.0118782479584261,0.0,-,-,1.6,20170925,中小板
6724,600039.SH,四川路桥,0.0118764845605701,0.0,-,-,0.5,20170415,沪市
6832,002360.SZ,同德化工,0.0118623962040332,0.0,0.0,0.0,1.0,20170411,中小板
7915,002783.SZ,凯龙股份,0.0118518518518519,15.0,0.0,15.0,8.0,20170301,中小板
7333,000898.SZ,鞍钢股份,0.0118374558303887,0.0,-,-,0.67,20170329,深主板
6305,002327.SZ,富安娜,0.0118343195266272,0.0,0.0,0.0,1.0,20170424,中小板
