,代码,名称,股息率,送转总比例,送股比例,转股比例,现金分红比例,预案公告日
98,603198,迎驾贡酒,0.0419412822049131,0.0,-,-,7.0,2019
1026,600683,京投发展,0.0419287211740042,0.0,-,-,2.0,2019
1416,544,中原环保,0.0418060200668896,0.0,-,-,2.5,2019
513,600025,华能水电,0.0416861826697892,0.0,-,-,1.78,2019
2549,601155,新城控股,0.0415167450871852,0.0,-,-,15.0,2019
2321,600585,海螺水泥,0.0414622178606477,0.0,-,-,16.9,2019
2118,601939,建设银行,0.0413513513513513,0.0,-,-,3.06,2019
1626,2101,广东鸿图,0.0411764705882353,0.0,-,-,3.15,2019
1470,600327,大东方,0.0411522633744856,2.0,-,2.0,2.0,2019
2170,2674,兴业科技,0.0410958904109589,0.0,-,-,6.0,2019
319,600236,桂冠电力,0.0409836065573771,3.0,3.0,-,2.5,2019
1266,600527,江南高纤,0.0409836065573771,0.0,-,-,1.0,2019
2113,39,中集集团,0.0409530900967982,2.0,-,2.0,5.5,2019
1483,600479,千金药业,0.0409416581371546,0.0,-,-,4.0,2019
885,600261,阳光照明,0.0408719346049046,0.0,-,-,1.5,2019
1674,2043,兔宝宝,0.0407830342577488,0.0,-,-,2.5,2019
2676,300219,鸿利智汇,0.0407608695652174,0.0,-,-,3.0,2019
814,600351,亚宝药业,0.040650406504065,0.0,-,-,2.5,2019
1823,600997,开滦股份,0.0404984423676013,0.0,-,-,2.6,2019
1403,603587,地素时尚,0.0403388463089956,0.0,-,-,10.0,2019
962,600123,兰花科创,0.0402684563758389,0.0,-,-,3.0,2019
155,2586,ST围海,0.0401069518716577,0.0,-,-,1.5,2019
2005,601818,光大银行,0.0400497512437811,0.0,-,-,1.61,2019
2439,600466,蓝光发展,0.0399385560675883,0.0,-,-,2.6,2019
1891,603868,飞科电器,0.0398936170212766,0.0,-,-,15.0,2019
788,601838,成都银行,0.0398633257403189,0.0,-,-,3.5,2019
1804,600308,华泰股份,0.0397849462365591,0.0,-,-,1.85,2019
253,603669,灵康药业,0.0395778364116095,4.0,-,4.0,4.5,2019
1319,600048,保利地产,0.0394321766561514,0.0,-,-,5.0,2019
258,2440,闰土股份,0.0394321766561514,0.0,-,-,5.0,2019
1749,2561,徐家汇,0.0394304490690033,0.0,-,-,3.6,2019
1340,600023,浙能电力,0.0393873085339168,0.0,-,-,1.8,2019
924,600708,光明地产,0.0392927308447937,0.0,-,-,2.0,2019
1956,402,金融街,0.0391644908616188,0.0,-,-,3.0,2019
960,603037,凯众股份,0.0391032325338895,0.0,-,-,7.5,2019
1603,830,鲁西化工,0.0390930414386239,0.0,-,-,5.0,2019
347,603035,常熟汽饰,0.0390625,0.0,-,-,3.75,2019
2245,600012,皖通高速,0.0388802488335925,0.0,-,-,2.5,2019
2585,2728,特一药业,0.0386674598453302,0.0,-,-,6.5,2019
2158,601998,中信银行,0.0386554621848739,0.0,-,-,2.3,2019
657,600409,三友化工,0.0385642737896494,0.0,-,-,2.31,2019
2153,2085,万丰奥威,0.0385593900889454,0.0,-,-,3.034624,2019
2657,2117,东港股份,0.0385462555066079,5.0,5.0,-,7.0,2019
2232,2,万科A,0.0385220051603391,0.0,-,-,10.45102,2019
2352,600970,中材国际,0.0385174418604651,0.0,-,-,2.65,2019
1970,600373,中文传媒,0.0384024577572965,0.0,-,-,5.0,2019
948,600782,新钢股份,0.0380228136882129,0.0,-,-,2.0,2019
975,600981,汇鸿集团,0.0380184331797235,0.0,-,-,1.65,2019
581,601222,林洋能源,0.0379609544468547,0.0,-,-,1.75,2019
1407,600571,信雅达,0.037948717948718,0.0,-,-,3.7,2019
1103,600340,华夏幸福,0.0377833753148615,0.0,-,-,12.0,2019
1746,2242,九阳股份,0.0377180575200377,0.0,-,-,8.0,2019
152,600900,长江电力,0.0375898286346047,0.0,-,-,6.8,2019
665,600021,上海电力,0.0375854214123007,0.0,-,-,3.3,2019
3,2540,亚太科技,0.0375586854460094,0.0,-,-,1.6,2019
112,601166,兴业银行,0.0373174689021093,0.0,-,-,6.9,2019
459,603878,武进不锈,0.0373134328358209,4.0,-,4.0,6.0,2019
2417,601515,东风股份,0.03725782414307,2.0,2.0,-,5.0,2019
1078,59,华锦股份,0.037147102526003,0.0,-,-,2.5,2019
141,600210,紫江企业,0.0371287128712871,0.0,-,-,1.5,2019
1712,90,天健集团,0.0368731563421829,3.0,-,3.0,2.5,2019
2476,603997,继峰股份,0.0367058823529412,0.0,-,-,3.12,2019
1086,601229,上海银行,0.0367047308319739,3.0,-,3.0,4.5,2019
576,601928,凤凰传媒,0.0366748166259169,0.0,-,-,3.0,2019
2602,2303,美盈森,0.0366300366300366,0.0,-,-,2.0,2019
2534,601886,江河集团,0.0365408038976857,0.0,-,-,3.0,2019
1307,603800,道森股份,0.0365230094959825,0.0,-,-,5.0,2019
1414,601019,山东出版,0.0364321608040201,0.0,-,-,2.9,2019
1694,600066,宇通客车,0.0364166059723234,0.0,-,-,5.0,2019
2294,2706,良信电器,0.0363901018922853,0.0,-,-,2.5,2019
1310,2416,爱施德,0.0363636363636364,0.0,-,-,2.0,2019
2435,1979,招商蛇口,0.0363304461821527,0.0,-,-,7.898239,2019
1529,601225,陕西煤业,0.0363036303630363,0.0,-,-,3.3,2019
2677,600681,百川能源,0.0362844702467344,4.0,-,4.0,5.0,2019
1443,419,通程控股,0.036281179138322,0.0,-,-,1.6,2019
1039,600566,济川药业,0.0360703812316716,0.0,-,-,12.3,2019
388,2293,罗莱生活,0.0357462019660411,1.0,-,1.0,4.0,2019
1267,822,山东海化,0.0357142857142857,0.0,-,-,2.0,2019
271,2705,新宝股份,0.0356415478615071,0.0,-,-,3.5,2019
577,600810,神马股份,0.035405192761605,3.0,-,3.0,4.5,2019
2204,552,靖远煤电,0.0353356890459364,0.0,-,-,1.0,2019
2344,600449,宁夏建材,0.0351288056206089,0.0,-,-,3.0,2019
1635,600598,北大荒,0.0350877192982456,0.0,-,-,4.0,2019
2355,600665,天地源,0.0350119904076739,0.0,-,-,1.46,2019
2392,600720,祁连山,0.0348235294117647,0.0,-,-,2.96,2019
2136,2299,圣农发展,0.0347826086956522,0.0,-,-,10.0,2019
1816,6,深振业A,0.0347593582887701,0.0,-,-,1.95,2019
1760,2187,广百股份,0.0347222222222222,0.0,-,-,3.0,2019
2114,513,丽珠集团,0.0346420323325635,3.0,-,3.0,12.0,2019
2023,600170,上海建工,0.0346153846153846,0.0,-,-,1.35,2019
2034,601991,大唐发电,0.0346020761245675,0.0,-,-,1.0,2019
2280,600761,安徽合力,0.0345167652859961,0.0,-,-,3.5,2019
2341,877,天山股份,0.0343891402714932,0.0,-,-,3.8,2019
1837,1696,宗申动力,0.0343796711509716,0.0,-,-,2.3,2019
1664,603696,安记食品,0.0342505854800937,4.0,-,4.0,5.85,2019
959,300154,瑞凌股份,0.0341296928327645,0.0,-,-,2.0,2019
218,2001,新和成,0.0340466926070039,0.0,-,-,7.0,2019
2526,2233,塔牌集团,0.0340189873417722,0.0,-,-,4.3,2019
