,codes,gxl
1042,603358.SH,0.0698967434471803
77,600829.SH,0.0697350069735007
124,002042.SZ,0.0693481276005548
31,600236.SH,0.06903765690376568
21,600395.SH,0.06796116504854369
1116,600518.SH,0.06772334293948126
16,000429.SZ,0.06755674232309745
305,002737.SZ,0.06688963210702341
37,000848.SZ,0.06657789613848203
113,002014.SZ,0.06588579795021962
50,000780.SZ,0.06557377049180328
98,000825.SZ,0.06480000000000001
59,600177.SH,0.06472491909385114
19,601216.SH,0.06440677966101695
1321,601216.SH,0.06440677966101695
108,000541.SZ,0.0642578125
26,600162.SH,0.064
70,300160.SZ,0.06395348837209303
2113,300160.SZ,0.06395348837209303
163,600681.SH,0.06392045454545454
363,603612.SH,0.06374764595103578
39,600971.SH,0.06250000000000001
14,600185.SH,0.06198347107438017
657,002696.SZ,0.061619718309859156
802,300736.SZ,0.06126126126126126
278,000060.SZ,0.06097560975609756
142,002068.SZ,0.06097560975609756
490,300410.SZ,0.06079671497584541
2260,300410.SZ,0.06079671497584541
30,601006.SH,0.0607235142118863
169,600400.SH,0.05970149253731343
470,600477.SH,0.05944055944055944
44,600641.SH,0.05888372093023256
64,300195.SZ,0.05859375
674,603555.SH,0.05827505827505828
312,002108.SZ,0.057803468208092484
138,600398.SH,0.057074910820451845
82,600393.SH,0.056224899598393566
197,603116.SH,0.0558659217877095
509,603669.SH,0.05578800557880056
43,000625.SZ,0.05575
398,002406.SZ,0.05565217391304348
126,002406.SZ,0.05565217391304348
42,600761.SH,0.05549389567147614
575,002884.SZ,0.05544005544005544
157,601229.SH,0.05543237250554325
115,002335.SZ,0.05534034311012729
303,000544.SZ,0.054945054945054944
79,000726.SZ,0.0546448087431694
141,603239.SH,0.05434782608695652
280,002543.SZ,0.05405405405405406
187,600708.SH,0.05405405405405406
63,601158.SH,0.05385996409335727
69,002206.SZ,0.05376344086021505
889,300660.SZ,0.0535475234270415
56,601328.SH,0.05279112754158965
74,300041.SZ,0.052687038988408846
374,002536.SZ,0.052447552447552455
60,601288.SH,0.052441176470588234
203,600660.SH,0.05243958048335613
614,600660.SH,0.05243958048335613
250,600409.SH,0.05238095238095238
147,603001.SH,0.05219206680584551
507,600622.SH,0.052109181141439205
41,002146.SZ,0.05178791615289766
29,002083.SZ,0.05172413793103448
78,601169.SH,0.05085714285714286
193,600338.SH,0.05080440304826418
418,603877.SH,0.050724637681159424
102,600279.SH,0.050724637681159424
144,600188.SH,0.050156739811912224
65,601988.SH,0.04985835694050992
133,600068.SH,0.049629629629629635
404,300425.SZ,0.04957528138528138
132,600683.SH,0.04938271604938271
91,000895.SZ,0.049194991055456175
57,601098.SH,0.04882017900732303
952,603466.SH,0.04881025015253203
58,601088.SH,0.04868913857677902
173,600638.SH,0.04827586206896552
472,600856.SH,0.048192771084337345
54,601818.SH,0.04813829787234043
601,603726.SH,0.04784688995215311
136,601567.SH,0.04731861198738171
24,600383.SH,0.04719501335707925
32,601225.SH,0.04696629213483146
319,600987.SH,0.046744574290484134
1437,300740.SZ,0.04672897196261682
90,601998.SH,0.04669051878354204
47,600897.SH,0.04644930772666369
502,000989.SZ,0.046403712296983764
179,603587.SH,0.045871559633027525
739,603600.SH,0.04569606801275239
119,603600.SH,0.04569606801275239
1803,002356.SZ,0.04566210045662101
1307,002609.SZ,0.04565217391304348
40,002609.SZ,0.04565217391304348
906,603757.SH,0.0455820476858345
225,603393.SH,0.045433893684688774
207,002088.SZ,0.04533091568449683
377,601238.SH,0.04518329070758738
1201,601238.SH,0.04518329070758738
53,000951.SZ,0.04497354497354498
73,002674.SZ,0.04468275245755139
88,601398.SH,0.044675324675324674
446,600658.SH,0.04462616822429906
160,002561.SZ,0.04449938195302843
1713,002477.SZ,0.044444444444444446
72,601009.SH,0.04423076923076923
110,603167.SH,0.04419889502762431
217,002043.SZ,0.044160733082706766
262,000030.SZ,0.044150110375275935
76,000069.SZ,0.04405286343612335
96,600649.SH,0.043859649122807015
61,600377.SH,0.04369414101290964
252,603989.SH,0.0436442989634479
740,002900.SZ,0.04351610095735422
170,600567.SH,0.0434640522875817
627,603458.SH,0.04343105320304017
85,600210.SH,0.04310344827586207
174,000525.SZ,0.04302925989672978
244,002085.SZ,0.04297994269340973
457,600327.SH,0.04297994269340973
815,300501.SZ,0.042881646655231566
129,002267.SZ,0.0427960057061341
149,600308.SH,0.042751842751842746
812,000826.SZ,0.04264392324093816
154,600023.SH,0.042499999999999996
139,002004.SZ,0.04246284501061571
67,600325.SH,0.042432814710042434
148,600743.SH,0.04237288135593221
86,601939.SH,0.04217391304347826
89,000863.SZ,0.04216081589958158
83,600741.SH,0.0421179302045728
105,601718.SH,0.04207920792079208
786,002832.SZ,0.042034468263976464
116,600012.SH,0.04197080291970802
467,300121.SZ,0.04195804195804196
1275,002517.SZ,0.04195804195804196
788,002872.SZ,0.04184397163120567
386,002440.SZ,0.041821561338289966
860,600230.SH,0.041631973355537054
256,603868.SH,0.04156275976724854
512,603889.SH,0.041390728476821195
190,603037.SH,0.04132231404958678
761,300393.SZ,0.04130726298433635
545,002905.SZ,0.041265474552957364
145,601886.SH,0.0411522633744856
487,603767.SH,0.0411522633744856
103,600269.SH,0.04096385542168675
378,002372.SZ,0.040955631399317405
152,000402.SZ,0.040927694406548434
478,600366.SH,0.040927694406548434
150,600981.SH,0.04087193460490463
111,600350.SH,0.0408256880733945
155,600742.SH,0.04081632653061224
